"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4017","testing the loginPage","chromium","Thu Nov 20 13:35:47 GMT 2025","passed","Thu Nov 20 13:35:51 GMT 2025","","POMTestFile.spec.js","",""
"","30169","verifying error displaying on click Register and Billing button senario 7","chromium","Thu Nov 20 13:17:25 GMT 2025","broken","Thu Nov 20 13:17:55 GMT 2025","","NewRegistrationTest4.spec.js","",""
"","25327","1.validating dispensary arrow is expanding or not","chromium","Thu Nov 20 13:17:24 GMT 2025","passed","Thu Nov 20 13:17:50 GMT 2025","","DispensaryModuleTest5.spec.js","",""
"","24307","loginPage validation","chromium","Thu Nov 20 13:17:24 GMT 2025","passed","Thu Nov 20 13:17:49 GMT 2025","","LoginPage1.spec.js","",""
"","24465","registration form fields validation [senario 3 and 4]","chromium","Thu Nov 20 13:17:26 GMT 2025","passed","Thu Nov 20 13:17:50 GMT 2025","","NewPatientRegistration3.spec.js","",""
"","17514","validating Error message is displaying without entering fields in patient Registration Form","chromium","Thu Nov 20 13:36:20 GMT 2025","passed","Thu Nov 20 13:36:37 GMT 2025","","POMTestFile.spec.js","",""
"","30089","Homepage Validations[senario 2]","chromium","Thu Nov 20 13:17:24 GMT 2025","broken","Thu Nov 20 13:17:55 GMT 2025","","HomePage2.spec.js","",""
"","12296","filling the patient registrattion form by Reading Data from the Excel file","chromium","Thu Nov 20 13:36:08 GMT 2025","passed","Thu Nov 20 13:36:20 GMT 2025","","POMTestFile.spec.js","",""
"","15158","Signing into App with valid credentials","chromium","Thu Nov 20 13:17:24 GMT 2025","passed","Thu Nov 20 13:17:40 GMT 2025","","LoginPage1.spec.js","",""
"","15830","testing the homePage","chromium","Thu Nov 20 13:35:52 GMT 2025","passed","Thu Nov 20 13:36:08 GMT 2025","","POMTestFile.spec.js","",""
"","12042","clicking Dispensary Dropdown and validating length","chromium","Thu Nov 20 13:36:37 GMT 2025","passed","Thu Nov 20 13:36:49 GMT 2025","","POMTestFile.spec.js","",""
